"PLAYER";"POSITION";"TEAM"
"Abbrederis, Jared";"WR";"GNB"
"Abdullah, Ameer";"RB";"DET"
"Adams, Davante";"WR";"GNB"
"Adams, Jerell";"TE";"NYG"
"Addison, Bralon";"WR";"DEN"
"Agholor, Nelson";"WR";"PHI"
"Aguayo, Roberto";"K";"TAM"
"Aiken, Kamar";"WR";"BAL"
"Ajayi, Jay";"RB";"MIA"
"Alford, Mario";"WR";"CIN"
"Allen, Brandon";"QB";"JAC"
"Allen, Dwayne";"TE";"IND"
"Allen, Javorius";"RB";"BAL"
"Allen, Keenan";"WR";"SDG"
"Allen, RaShaun";"TE";"NOR"
"Allen, Torrence";"WR";"SDG"
"Allison, Geronimo";"WR";"GNB"
"Amaro, Jace";"TE";"NYJ"
"Amendola, Danny";"WR";"NWE"
"Anderson, C.J.";"RB";"DEN"
"Anderson, Derek";"QB";"CAR"
"Anderson, Dres";"WR";"SFO"
"Anderson, Robby";"WR";"NYJ"
"Anderson, Rory";"TE";"SFO"
"Anderson, Stephen";"TE";"HOU"
"Andrews, Antonio";"RB";"TEN"
"Annen, Blake";"TE";"BUF"
"Anthrop, Danny";"WR";"IND"
"Artis-Payne, Cameron";"RB";"CAR"
"Asiata, Matt";"RB";"MIN"
"Atkinson, George";"RB";"OAK"
"Austin, Tavon";"WR";"LAR"
"Ayers, DeMarcus";"WR";"PIT"
"Backman, Kennard";"TE";"GNB"
"Bailey, Dan";"K";"DAL"
"Bailey, Rasheed";"WR";"JAC"
"Bailey, Stedman";"WR";"LAR"
"Baldwin, Doug";"WR";"SEA"
"Banyard, Joe";"RB";"JAC"
"Barber, Peyton";"RB";"TAM"
"Barkley, Matt";"QB";"ARI"
"Barner, Kenjon";"RB";"PHI"
"Barnidge, Gary";"TE";"CLE"
"Barth, Connor";"K";"NOR"
"Beasley, Cole";"WR";"DAL"
"Beckham, Odell";"WR";"NYG"
"Bell, Blake";"TE";"SFO"
"Bell, Devon";"WR";"DET"
"Bell, Kenny";"WR";"TAM"
"Bell, Le'Veon";"RB";"PIT"
"Bell, Reggie";"WR";"NOR"
"Bellamy, Josh";"WR";"CHI"
"Benjamin, Kelvin";"WR";"CAR"
"Benjamin, Travis";"WR";"SDG"
"Benn, Arrelious";"WR";"JAC"
"Bennett, Martellus";"TE";"NWE"
"Bennett, Michael";"WR";"CIN"
"Bercovici, Mike";"QB";"SDG"
"Bergen, Sam";"RB";"TEN"
"Bernard, Giovani";"RB";"CIN"
"Bersin, Brenton";"WR";"CAR"
"Bertolet, Taylor";"K";"LAR"
"Bethel-Thompson, McLeod";"QB";"PHI"
"Bibbs, E.J.";"TE";"CLE"
"Bibbs, Kapri";"RB";"DEN"
"Billingsley, Jace";"WR";"DET"
"Binford, Harvey";"WR";"GNB"
"Blackmon, Justin";"WR";"JAC"
"Blakeney, Issac";"WR";"PIT"
"Blanchflower, Rob";"TE";"PIT"
"Blount, LeGarrette";"RB";"NWE"
"Blue, Alfred";"RB";"HOU"
"Boehringer, Moritz";"WR";"MIN"
"Bohanon, Tommy";"RB";"NYJ"
"Bolden, Brandon";"RB";"NWE"
"Boldin, Anquan";"WR";"DET"
"Bonnet, Andrew";"RB";"CIN"
"Booker, Devontae";"RB";"DEN"
"Boone, Kadron";"WR";"NYG"
"Bortles, Blake";"QB";"JAC"
