"Player";"Position";"Team"
"Pietersen, Joe";"OB";"SHA"
"Tuculet, Joaquin";"OB";"JAG"
"Thomson, Blade";"L";"HUR"
"Venter, Shaun";"HB";"CHE"
"Bridge, George";"OB";"CRU"
"Kuridrani, Chris";"OB";"RED"
"Drummond, Mitchell";"HB";"CRU"
"Goodhue, Jack";"M";"CRU"
"Tui, Hendrik";"LF";"RED"
"Kaetau Havili, David";"M";"CRU"
"Velleman, CJ";"LF";"KIN"
"Lezana, Tomas";"LF";"JAG"
"Prior, Ian";"HB";"FOR"
"Paige, Rudy";"HB";"BUL"
"Nabuli, Eto";"OB";"RED"
"Fisiiahi, Glen";"OB";"CHI"
"du Plessis, Jean-Luc";"FH";"STO"
"Debreczeni, Jack";"FH";"REB"
"Stevenson, Shaun";"OB";"CHI"
"Mahuza, Sylvian";"OB";"LIO"
"Coleman, Kurt";"FH";"STO"
"April, Garth";"FH";"SHA"
"Carr, Nizaam";"LF";"STO"
"Pryor, Kara";"LF";"BLU"
"Bothma, Renaldo";"LF";"BUL"
"Matera, Pablo";"LF";"JAG"
"Bosch, Curwin";"OB";"SHA"
"Taute, Jaco";"OB";"STO"
"Brummer, Francois";"FH";"BUL"
"Senatore, Leonardo";"LF";"JAG"
"Human, Dewald";"FH";"KIN"
"Meehan, Ben";"HB";"REB"
"Magnay, Campbell";"M";"RED"
"Stirzaker, Nic";"HB";"REB"
"Daniel, Keegan";"LF";"SHA"
"van der Walt, Jaco";"FH";"LIO"
"Fouche, Louis";"FH";"KIN"
"Fifita, Sione";"OB";"CRU"
"Jackson-Hope, Jordan";"M";"BRU"
"Vulindlu, Luzuko";"M";"KIN"
"Taefu, Henry";"M";"RED"
"Orlando, Matias";"M";"JAG"
"Fainga'a, Colby";"LF";"REB"
"Tupou, Jimmy";"L";"BLU"
"Sanders, Tom";"LF";"CHI"
"Kolisi, Siya";"LF";"STO"
"Cloete, Chris";"LF";"KIN"
"Botha, Arno";"LF";"BUL"
"Whitelock, Luke";"LF";"HIG"
"Ackermann, Ruan";"LF";"LIO"
"Reid, Jordy";"LF";"REB"
"McCalman, Ben";"LF";"FOR"
"Alemanno, Matias";"L";"JAG"
"Leitch, Michael";"LF";"CHI"
"Moli, Liaki";"L";"SUN"
"Hodgson, Matt";"LF";"FOR"
"Van Der Walt, Phillip";"LF";"SHA"
"Pryor, Dan";"LF";"HIG"
"Franklin, Thomas";"L";"HIG"
"Fatialofa, Michael";"L";"HUR"
"Bird, Dominic";"L";"CHI"
"Skelton, Will";"L";"WAR"
"Coleman, Adam";"L";"FOR"
"Romano, Luke";"L";"CRU"
"Smit, Roelof";"LF";"BUL"
"Arnold, Rory";"L";"BRU"
"Jordaan, Niell";"LF";"CHE"
"Prinsloo, Boom";"LF";"CHE"
"Lousi, Sam";"L";"HUR"
"Prinsep, Reed";"LF";"HUR"
"Timu, Caleb";"LF";"RED"
"Jaer, Malcolm";"OB";"KIN"
"Poitrenaud, Clement";"OB";"SHA"
"Volmink, Anthonie";"OB";"LIO"
"Banks, Thomas";"OB";"BRU"
"Thomson, Brandon";"FH";"STO"
"Lentjes, James";"LF";"HIG"
"Alcock, Chris";"LF";"BRU"
"van der Spuy, Michael";"FH";"CHE"
"Robinson, Reece";"OB";"WAR"
