"Player";"Position";"Team"
"Aaitui, Isaako";"DL";"NOR"
"Abdul-Quddus, Isa";"DB";"NOR"
"Abdullah, Husain";"DB";"K.C"
"Aboushi, Oday";"OL";"NYJ"
"Abraham, John";"DL";"ARI"
"Acho, Emmanuel";"LB";"PHI"
"Acho, Sam";"LB";"ARI"
"Adams, Aaron";"OL";"CLE"
"Adams, Jeff";"OL";"MIA"
"Adams, Joe";"WR";"CAR"
"Adams, Johnny";"DB";"HOU"
"Adams, Kendrick";"LB";"CLE"
"Adams, Kris";"WR";"NYG"
"Adams, Kyle";"TE";"CHI"
"Adams, Michael";"DB";"TAM"
"Adams, Mike";"DB";"DEN"
"Adams, Mike";"OL";"PIT"
"Adams, Phillip";"DB";"OAK"
"Adams, Royce";"DB";"NYJ"
"Addae, Jahleel";"DB";"SDG"
"Addison, Mario";"DL";"CAR"
"Adkins, Spencer";"LB";"BAL"
"Adongo, Daniel";"LB";"IND"
"Afalava, Al";"DB";"TEN"
"Agnew, Vince";"DB";"K.C"
"Aiken, Kamar";"WR";"NWE"
"Akers, David";"K";"DET"
"Akins, C.J.";"WR";"STL"
"Albert, Branden";"OL";"K.C"
"Albright, Alex";"LB";"DAL"
"Alexander, Danario";"WR";"SDG"
"Alexander, Frank";"DL";"CAR"
"Alexander, Lorenzo";"LB";"ARI"
"Alford, Robert";"DB";"ATL"
"Allen, Anthony";"RB";"BAL"
"Allen, Antonio";"DB";"NYJ"
"Allen, Armando";"RB";"CHI"
"Allen, Cortez";"DB";"PIT"
"Allen, Dwayne";"TE";"IND"
"Allen, Jared";"DL";"MIN"
"Allen, Jeff";"OL";"K.C"
"Allen, Keenan";"WR";"SDG"
"Allen, Nate";"DB";"PHI"
"Allen, Russell";"LB";"JAC"
"Allen, Will";"DB";"DAL"
"Alonso, Kiko";"LB";"BUF"
"Alualu, Tyson";"DL";"JAC"
"Amaya, Jonathon";"DB";"ARI"
"Amendola, Danny";"WR";"NWE"
"Amerson, David";"DB";"WAS"
"Amos, Anthony";"WR";"DAL"
"Amosa, Jonathan";"RB";"GNB"
"Amukamara, Prince";"DB";"NYG"
"Anderson, C.J.";"RB";"DEN"
"Anderson, Colin";"TE";"MIN"
"Anderson, Colt";"DB";"PHI"
"Anderson, Derek";"QB";"CAR"
"Anderson, Jamaal";"DL";"CHI"
"Anderson, James";"LB";"CHI"
"Anderson, Joe";"WR";"CHI"
"Anderson, Justin";"OL";"IND"
"Angerer, Pat";"LB";"IND"
"Ansah, Ezekiel";"DL";"DET"
"Anthony, Marc";"DB";"BAL"
