Player;Position;Team
"Mastriet, Sampie";"OB";"LIO"
"Tecklenburg, Warwick";"LF";"LIO"
"Rhule, Raymond";"OB";"CHE"
"Christie, Shane";"LF";"HIG"
"Thomson, Adam";"LF";"REB"
"Black, Otere";"FH";"HUR"
"Etzebeth, Eben";"L";"STO"
"Samu, Peter";"LF";"CRU"
"Pryor, Dan";"LF";"HIG"
"Zeilinga, Fred";"FH";"CHE"
"Weber, Brad";"HB";"CHI"
"Retallick, Brodie";"L";"CHI"
"Polwart, Sean";"LF";"CHI"
"Vaea, Ita";"LF";"BRU"
"Squire, Liam";"LF";"HIG"
"Coleman, Kurt";"FH";"STO"
"Boshoff, Marnitz";"FH";"LIO"
"Schoeman, Tiaan";"FH";"BUL"
"Korczyk, Adam";"LF";"RED"
"Kellaway, Andrew";"OB";"WAR"
"Hall, Bryn";"HB";"BLU"
"Phipps, Nick";"HB";"WAR"
"Groom, Nic";"HB";"STO"
"Front Row, Force";"FR";"FOR"
"Front Row, Lions";"FR";"LIO"
"Front Row, Brumbies";"FR";"BRU"
"Front Row, Rebels";"FR";"REB"
"Front Row, Highlanders";"FR";"HIG"
"Front Row, Bulls";"FR";"BUL"
"Front Row, Sharks";"FR";"SHA"
"Front Row, Waratahs";"FR";"WAR"
"Front Row, Chiefs";"FR";"CHI"
"Front Row, Cheetahs";"FR";"CHE"
"Front Row, Kings";"FR";"KIN"
"Front Row, Sunwolves";"FR";"SUN"
