Player;Position;Team
Brassart, Brady;C;TAM
Bratt, Jesper;RW;NJD
Braun, Justin;D;PHI
Brazeau, Justin;LW;SJS
Breen, Chris;D;BOS
Brennan, T.J.;D;PHI
Brickley, Connor;LW;NSH
Brickley, Daniel;D;LAK
Brisebois, Guillaume;D;VAN
Broadhurst, Alex;C;CBS
Broadhurst, Terry;LW;CHI
Broberg, Philip;D;EDM
Brodeur, Jeremy;G;NYR
Brodie, T.J.;D;CGY
Brodin, Jonas;D;MIN
Brodziak, Kyle;C;EDM
Brodzinski, Jonny;RW;SJS
Brodzinski, Michael;D;SJS
Brook, Josh;D;MTL
Brooks, Adam;C;TOR
Brossoit, Laurent;G;WPG
Brouwer, Troy;RW;FLA
Brown, Connor;RW;OTT
Brown, Dustin;RW;LAK
Brown, J.T.;RW;MIN
Brown, Josh;D;FLA
Brown, Logan;C;OTT
Brown, Patrick;C;CAR
Brule, Gilbert;C;CGY
Bryson, Jacob;D;BUF
Buchnevich, Pavel;RW;NYR
Budaj, Peter;G;LAK
Buitenhuis, Evan;G;NYI
Bukac, Daniel;D;BOS
Bunnaman, Connor;C;PHI
Bunting, Michael;LW;ARI
Burakovsky, Andre;LW;COL
Burgdoerfer, Erik;D;OTT
Burke, Brayden;LW;ARI
Burns, Brent;D;SJS
Burroughs, Kyle;D;NYI
Busby, Dennis;D;ARI
Butcher, Will;D;NJD
Butler, Bobby;RW;NYR
Butler, Chris;D;STL
Byfuglien, Dustin;D;WPG
Byram, Bowen;D;COL
Byron, Blaine;C;FLA
Byron, Paul;LW;MTL
Bystrom, Ludwig;D;FLA
Paajarvi, Magnus;RW;OTT
Pachal, Brayden;D;CGY
Pacioretty, Max;LW;VGK
Paddock, Max;G;SJS
Pageau, Jean-Gabriel;C;OTT
Pakkila, Eetu;LW;NJD
Palat, Ondrej;LW;TAM
Paliotta, Michael;D;CGY
Palmieri, Kyle;RW;NJD
Palmu, Petrus;LW;VAN
Palojarvi, Antti;D;PIT
Palve, Oula;C;PIT
Panarin, Artemi;LW;NYR
Panik, Richard;LW;WAS
Paquette, Cedric;C;TAM
Paquette, Jacob;D;NSH
Parayko, Colton;D;STL
Pare, Cedric;C;BOS
Parise, Zach;LW;MIN
Parsons, Tyler;G;CGY
Pastrnak, David;RW;BOS
Pateryn, Greg;D;MIN
Patrick, Nolan;C;PHI
Paul, Nick;LW;OTT
Pavelec, Ondrej;G;NYR
Pavelski, Joe;RW;DAL
Payne, Robbie;RW;DAL
Pearson, Tanner;LW;VAN
Peca, Matthew;C;MTL
Pedersen, Brent;LW;TAM
Pederson, Lane;C;ARI
Pedrie, Vince;D;NYR
Peeke, Andrew;D;CBS
Pekar, Matej;C;BUF
Pelech, Adam;D;NYI
Peluso, Anthony;RW;CGY
Percy, Stuart;D;OTT
Perlini, Brendan;RW;CHI
Perreault, Mathieu;LW;WPG
Perron, David;RW;STL
Perron, Francis;LW;SJS
Perry, Corey;RW;DAL
Persson, Carl;C;NSH
Pesce, Brett;D;CAR
Petan, Nic;RW;TOR
Peters, Anthony;G;PIT
Petersen, Cal;G;LAK
Petrovic, Alexander;D;EDM
Petry, Jeff;D;MTL
Pettersson, Elias;C;VAN
Pettersson, Emil;C;NSH
Pettersson, Marcus;D;PIT
Pezzetta, Michael;LW;MTL
Phaneuf, Dion;D;LAK
Phelan, James;LW;DAL
Phillips, Markus;D;LAK
Phillips, Matthew;C;CGY
Philp, Luke;C;CGY
Phinney, Colton;G;NJD
Piccinich, J.J.;RW;TOR
Pietila, Blake;LW;NJD
Pietrangelo, Alex;D;STL
Pilon, Darian;LW;MIN
Pilon, Drake;RW;MIN
Pilon, Garrett;C;WAS
Pilut, Lawrence;D;BUF
Pinho, Brian;C;WAS
Pionk, Neal;D;WPG
Pirri, Brandon;LW;VGK
Pitlick, Rem;C;NSH
Pitlick, Tyler;RW;PHI
Plant, Adam;D;MTL
Plekanec, Tomas;C;MTL
Poehling, Ryan;C;MTL
Poganski, Austin;RW;STL
Point, Brayden;C;TAM
Point, Colton;G;DAL
Polak, Roman;D;DAL
Polei, Evan;RW;EDM
Pollock, Brett;LW;CGY
Pominville, Jason;RW;BUF
Pond, Tanner;RW;BOS
Pooley, Scott;RW;TOR
Poolman, Tucker;D;WPG
Pope, David;LW;DET
Popovich, Anthony;G;DAL
Popugaev, Nikita;LW;NJD
Porter, Kevin;C;BUF
Pospisil, Kristian;C;TOR
Pospisil, Martin;C;CGY
Poturalski, Andrew;C;CAR
Pouliot, Derrick;D;VAN
Prapavessis, Michael;D;CBS
Praplan, Vincent;C;SJS
Price, Carey;G;MTL
Primeau, Cayden;G;MTL
Pritchard, Jacob;LW;CAR
Prokhorkin, Nikolai;LW;LAK
Prosser, Nate;D;MIN
Prosvetov, Ivan;G;ARI
Protas, Aliaksei;C;WAS
Prout, Dalton;D;CGY
Provorov, Ivan;D;PHI
Prow, Ethan;D;PIT
Pucek, Roman;LW;TOR
Puljujarvi, Jesse;RW;EDM
Pulock, Ryan;D;NYI
Pyatt, Tom;RW;VAN
Pyett, Logan;D;PHI
Pyrochta, Filip;D;NSH
Pysyk, Mark;D;FLA
D'Orio, Alex;G;PIT
Daccord, Joey;G;OTT
Dach, Kirby;C;CHI
Dadonov, Evgenii;RW;FLA
Dahlen, Jonathan;C;VAN
Dahlin, Rasmus;D;BUF
Dahlstrom, Carl;D;CHI
Dal Colle, Michael;LW;NYI
Daley, Trevor;D;DET
Dalpe, Zac;C;CBS
Damiani, Riley;C;DAL
Danault, Phillip;C;MTL
Dano, Marko;LW;WPG
Dansk, Oscar;G;VGK
Darling, Scott;G;CAR
Datsyuk, Pavel;C;ARI
Dauphin, Laurent;C;NSH
Davidson, Brandon;D;CHI
Davidsson, Jonathan;RW;CBS
Davies, Jeremy;D;NJD
Davis, Brett;RW;DAL
Davis, Kevin;D;COL
Day, Logan;D;EDM
Day, Sean;D;NYR
De Haas, James;D;PHI
De Jong, Brendan;D;CAR
De Leo, Chase;C;ANA
DeAngelo, Tony;D;NYR
DeBrincat, Alex;LW;CHI
DeBrusk, Jake;LW;BOS
DeKeyser, Danny;D;DET
DeMelo, Dylan;D;OTT
DeSalvo, Dan;C;CBS
