"Bradham, Nigel";"LB";"BUF"
"Bradley, Rodney";"WR";"BAL"
"Brady, Tom";"QB";"NWE"
"Braman, Bryan";"LB";"HOU"
"Branch, Andre";"DL";"JAC"
"Branch, Deion";"WR";"NWE"
"Branch, Tyvon";"DB";"OAK"
"Brantley, John";"QB";"BAL"
"Brazill, LaVon";"WR";"IND"
"Breaston, Steve";"WR";"K.C"
"Brewster, Michael";"OL";"JAC"
"Brinkley, Curtis";"RB";"SDG"
"Brisiel, Mike";"OL";"OAK"
"Britt, Kenny";"WR";"TEN"
"Britton, Eben";"OL";"JAC"
"Brock, Kevin";"TE";"BUF"
"Brock, Logan";"TE";"HOU"
"Brodine, Mason";"DL";"OAK"
"Brooks, Brandon";"OL";"HOU"
"Brooks, Derrius";"DB";"CIN"
"Brooks, Jourdan";"RB";"CIN"
"Brown, Aaron";"RB";"CIN"
"Brown, Antonio";"WR";"PIT"
"Brown, Charles";"DB";"BAL"
"Brown, Chykie";"DB";"BAL"
"Brown, Colin";"OL";"BUF"
"Brown, Curtis";"DB";"PIT"
"Brown, Donald";"RB";"IND"
"Brown, Duane";"OL";"HOU"
"Brown, Eddie";"DL";"SDG"
"Brown, Garrett";"DL";"SDG"
"Brown, Jalil";"DB";"K.C"
"Brown, Jarrett";"QB";"IND"
"Brown, Jeremiah";"DB";"JAC"
"Brown, Jerry";"LB";"IND"
"Brown, Josh";"K";"NYJ"
"Brown, Les";"TE";"MIA"
"Brown, Marcus";"DB";"MIA"
"Brown, Mike";"WR";"JAC"
"Brown, Mike";"WR";"JAC"
"Brown, Omar";"DB";"BAL"
"Brown, Ricky";"LB";"BAL"
"Brown, Ronnie";"RB";"SDG"
"Brown, Sergio";"DB";"NWE"
"Brown, Sheldon";"DB";"CLE"
"Brown, Terence";"OL";"MIA"
"Brown, Vincent";"WR";"SDG"
"Brown, Zach";"RB";"BUF"
"Brown, Zach";"LB";"TEN"
"Browner, Keith";"DL";"HOU"
"Bruggeman, Rob";"OL";"K.C"
"Bruton, David";"DB";"DEN"
"Bryant, Charlie";"OL";"SDG"
"Bryant, Corbin";"DL";"PIT"
"Bryant, D.J.";"LB";"HOU"
"Bryant, Desmond";"DL";"OAK"
"Buche, Bridger";"OL";"PIT"
"Bullock, Randy";"K";"HOU"
"Bulman, Tim";"DL";"NWE"
"Burden, Chandler";"OL";"MIA"
"Burfict, Vontaze";"LB";"CIN"
"Burnett, Kaelin";"LB";"OAK"
"Burnett, Kevin";"LB";"MIA"
"Burris, Miles";"LB";"OAK"
"Burton, Charles";"OL";"SDG"
"Bush, Josh";"DB";"NYJ"
"Bush, Rafael";"DB";"DEN"
"Bush, Reggie";"RB";"MIA"
"Butler, Carson";"TE";"NWE"
"Butler, Donald";"LB";"SDG"
"Butler, Rashad";"OL";"HOU"
"Bynes, Josh";"LB";"BAL"
"Byrd, Jairus";"DB";"BUF"
"Caldwell, Andre";"WR";"DEN"
"Caldwell, Antoine";"OL";"HOU"
"Caldwell, David";"DB";"IND"
"Cameron, Jordan";"TE";"CLE"
"Campbell, Caleb";"LB";"K.C"
"Campbell, Terrence";"OL";"NYJ"
"Campbell, Tommie";"DB";"TEN"
"Canfield, Trevor";"OL";"NYJ"
"Cannon, Marcus";"OL";"NWE"
"Carder, Tank";"LB";"BUF"
"Carlisle, Cooper";"OL";"OAK"
"Carmichael, Roc";"DB";"HOU"
"Carmon, James";"OL";"BUF"
"Carmona, Eddy";"K";"OAK"
"Carpenter, Bobby";"LB";"NWE"
"Carpenter, Dan";"K";"MIA"
"Carr, Nigel";"LB";"BAL"
"Carrier, Derek";"WR";"OAK"
"Carrington, Alex";"DL";"BUF"
"Carroll, Nolan";"DB";"MIA"
"Carswell, Brandon";"WR";"OAK"
"Carter, Chris";"LB";"PIT"
"Carter, Delone";"RB";"IND"
"Carter, Markell";"LB";"NWE"
"Carter, Quinton";"DB";"DEN"
"Carter, Terry";"DB";"PIT"
"Carter, Tony";"DB";"DEN"
"Casey, James";"TE";"HOU"
"Casey, Jurrell";"DL";"TEN"
"Cason, Antoine";"DB";"SDG"
"Cassel, Matt";"QB";"K.C"
"Castonzo, Anthony";"OL";"IND"
"Cattouse, Sean";"DB";"SDG"
"Caussin, Mike";"TE";"BUF"
"Cesaire, Jacques";"DL";"SDG"
"Chandler, Scott";"TE";"BUF"
"Chapman, Josh";"DL";"IND"
"Charles, Jamaal";"RB";"K.C"
"Charles, Orson";"TE";"CIN"
"Chavis, Miguel";"DL";"PIT"
"Cheadle, Justin";"OL";"K.C"
"Chekwa, Chimdi";"DB";"OAK"
"Chick, John";"DL";"JAC"
"Chism, Cameron";"DB";"IND"
"Choice, Tashard";"RB";"BUF"
"Chung, Patrick";"DB";"NWE"
"Clady, Ryan";"OL";"DEN"
"Clanton, Erik";"LB";"PIT"
"Clark, Chris";"OL";"DEN"
"Clark, Ryan";"DB";"PIT"
"Clary, Jeromey";"OL";"SDG"
"Clay, Charles";"RB";"MIA"
"Clay, John";"RB";"PIT"
"Clayton, Zach";"DL";"TEN"
"Clements, Nate";"DB";"CIN"
"Clemons, Chris";"DB";"MIA"
"Clemons, Toney";"WR";"PIT"
"Cleveland, Matt";"OL";"CLE"
"Cloherty, Colin";"TE";"JAC"
"Clouser, Brant";"OL";"NYJ"
"Clowney, David";"WR";"BUF"
"Cochart, Colin";"TE";"CIN"
"Cody, Shaun";"DL";"HOU"
"Cody, Terrence";"DL";"BAL"
"Coffey, Elliot";"LB";"DEN"
"Cole, Marquice";"DB";"NWE"
"Coleman, Andre";"DL";"SDG"
"Collie, Austin";"WR";"IND"
"Collins, Anthony";"OL";"CIN"
"Collins, Cameron";"LB";"MIA"
"Colon, Willie";"OL";"PIT"
"Conner, John";"RB";"NYJ"
"Conner, Kavell";"LB";"IND"
"Connolly, Dan";"OL";"NWE"
"Considine, Sean";"DB";"BAL"
"Cook, Emanuel";"DB";"BAL"
"Cook, Jared";"TE";"TEN"
"Cook, Kyle";"OL";"CIN"
"Cook, Ryan";"OL";"MIA"
"Cooper, Jon";"OL";"TEN"
"Cooper, Josh";"WR";"CLE"
"Coples, Quinton";"DL";"NYJ"
"Copper, Terrance";"WR";"K.C"
"Cornell, Jack";"OL";"BAL"
"Corner, Reggie";"DB";"JAC"
"Cornick, Paul";"OL";"NYJ"
"Corp, Aaron";"QB";"BUF"
"Corto, Jon";"DB";"BUF"
"Cosby, Quan";"WR";"IND"
"Cotchery, Jerricho";"WR";"PIT"
"Cousins, Oniel";"OL";"CLE"
"Coutu, Brandon";"K";"JAC"
"Cox, Christian";"LB";"NWE"
"Cox, Derek";"DB";"JAC"
"Cox, Paul";"WR";"PIT"
"Crable, Shawn";"LB";"NYJ"
"Crawford, Jack";"DL";"OAK"
"Cribbs, Josh";"WR";"CLE"
"Crick, Jared";"DL";"HOU"
"Criner, Juron";"WR";"OAK"
"Cromartie, Antonio";"DB";"NYJ"
"Cromartie-Smith, Da'Mon";"DB";"PIT"
"Cullen, John";"OL";"SDG"
"Culver, Tyrone";"DB";"MIA"
"Cumberland, Jeff";"TE";"NYJ"
"Cumbie, Jamie";"DL";"OAK"
"Cundiff, Billy";"K";"BAL"
"Cunningham, B.J.";"WR";"MIA"
"Cunningham, Jermaine";"LB";"NWE"
"Curry, Aaron";"LB";"OAK"
"Cushing, Brian";"LB";"HOU"
"Dalton, Andy";"QB";"CIN"
"Daniels, Owen";"TE";"HOU"
"Daniels, Stanley";"OL";"CLE"
"Daniels, Travis";"DB";"K.C"
"Dansby, Karlos";"LB";"MIA"
"Dareus, Marcell";"DL";"BUF"
"Davenport, Najeh";"RB";"PIT"
"Davis, Britt";"WR";"NWE"
"Davis, C.J.";"OL";"DEN"
"Davis, Demario";"LB";"NYJ"
"Davis, Emanuel";"DB";"CLE"
"Davis, Hall";"DL";"OAK"
"Davis, Jason";"DL";"HOU"
"Davis, Rulon";"DL";"JAC"
"Davis, Ryan";"DL";"JAC"
"Davis, Vontae";"DB";"MIA"
"Dawson, Keyunta";"DL";"TEN"
"Dawson, Phil";"K";"CLE"
