"Player";"Position";"Team"
"Aaitui, Isaako";"DL";"TEN"
"Abbrederis, Jared";"WR";"GNB"
"Abdul-Quddus, Isa";"DB";"DET"
"Abdullah, Ameer";"RB";"DET"
"Abdullah, Husain";"DB";"K.C"
"Aboushi, Oday";"OL";"NYJ"
"Acho, Emmanuel";"DB";"PHI"
"Acho, Sam";"DB";"CHI"
"Acker, Kenneth";"DB";"SFO"
"Acosta, Corey";"K";"SFO"
"Adams, Aaron";"OL";"HOU"
"Adams, Davante";"WR";"GNB"
"Adams, Jeff";"OL";"HOU"
"Adams, Mike";"DB";"IND"
"Adams, Mike";"OL";"PIT"
"Adams, Phillip";"DB";"ATL"
"Adams, Tyrell";"DB";"SEA"
"Addae, Jahleel";"DB";"SDG"
"Addison, Mario";"DL";"CAR"
"Adjei-Barimah, Jude";"DB";"TAM"
"Adongo, Daniel";"DB";"IND"
"Agholor, Nelson";"WR";"PHI"
"Agnew, Ray";"RB";"DAL"
"Aiken, Kamar";"WR";"BAL"
"Aikens, Walt";"DB";"MIA"
"Aiyegbusi, Babatunde";"OL";"MIN"
"Ajayi, Jay";"RB";"MIA"
"Ajirotutu, Seyi";"WR";"PHI"
"Akunne, Derek";"DB";"ATL"
"Albert, Branden";"OL";"MIA"
"Alecxih, Chas";"DL";"CAR"
"Alexander, D.J.";"DB";"K.C"
"Alexander, Frank";"DL";"CAR"
"Alexander, Kwon";"DB";"TAM"
"Alexander, Lorenzo";"DB";"ARI"
"Alexander, Maurice";"DB";"STL"
"Alford, Mario";"WR";"CIN"
"Alford, Robert";"DB";"ATL"
"Allen, Antonio";"DB";"NYJ"
"Allen, Beau";"DL";"PHI"
"Allen, Cortez";"DB";"PIT"
"Allen, Dwayne";"TE";"IND"
"Allen, Jared";"DB";"CHI"
"Allen, Javorius";"RB";"BAL"
"Allen, Jeff";"OL";"K.C"
"Allen, Josh";"OL";"TAM"
"Allen, Keenan";"WR";"SDG"
"Allen, Nate";"DB";"OAK"
"Allen, RaShaun";"TE";"SEA"
"Allen, Ricardo";"DB";"ATL"
"Allen, Torrence";"WR";"SDG"
"Allen, Will";"DB";"PIT"
"Alonso, Kiko";"DB";"PHI"
"Alston, Quinton";"DB";"TAM"
"Alualu, Tyson";"DL";"JAC"
"Amaro, Jace";"TE";"NYJ"
"Amendola, Danny";"WR";"NWE"
"Amerson, David";"DB";"WAS"
"Amos, Adrian";"DB";"CHI"
"Amukamara, Prince";"DB";"NYG"
"Anderson, C.J.";"RB";"DEN"
"Anderson, Colt";"DB";"IND"
"Anderson, Derek";"QB";"CAR"
"Anderson, Dres";"WR";"SFO"
"Anderson, Henry";"DL";"IND"
"Anderson, Jonathan";"DB";"CHI"
"Anderson, Justin";"DB";"DAL"
"Anderson, Ri'Shard";"DB";"TEN"
"Anderson, Rory";"TE";"SFO"
"Anderson, Zaire";"DB";"DEN"
"Andrews, Antonio";"RB";"TEN"
"Andrews, David";"OL";"NWE"
"Andrews, Josh";"OL";"PHI"
"Ankrah, Jason";"DB";"HOU"
"Annen, Blake";"TE";"CHI"
"Ansah, Ezekiel";"DL";"DET"
"Anthony, Stephone";"DB";"NOR"
"Anunike, Kenny";"DL";"DEN"
"Anunoby, Chigbo";"DL";"MIN"
"Anyama, Boris";"DB";"ATL"
"Archer, Dri";"RB";"PIT"
"Ariguzo, Chi Chi";"DB";"SDG"
"Arkin, David";"OL";"IND"
"Armbrister, Thurston";"DB";"JAC"
"Armstead, Arik";"DL";"SFO"
"Armstead, Terron";"OL";"NOR"
"Armstrong, Ray-Ray";"DB";"OAK"
"Arrington, Kyle";"DB";"BAL"
"Artis-Payne, Cameron";"RB";"CAR"
"Asamoah, Jon";"OL";"ATL"
"Asante, Larry";"DB";"OAK"
"Ash, Richard";"DL";"JAC"
"Asiata, Matt";"RB";"MIN"
"Askew, Nate";"DB";"TEN"
"Asprilla, Manny";"DB";"SDG"
"Atkins, Geno";"DL";"CIN"
"Atkinson, George";"RB";"OAK"
"Attaochu, Jeremiah";"DB";"SDG"
"Aultman, Damarr";"WR";"MIA"
"Ausberry, David";"TE";"DET"
"Austin, Marvin";"DL";"DEN"
"Austin, Miles";"WR";"PHI"
