"Player";"Position";"Team"
"Clear, Cameron";"TE";"PIT"
"Clemens, Kellen";"QB";"SDG"
"Cleveland, Asante";"TE";"SFO"
"Closs, Kasey";"WR";"JAC"
"Clutts, Tyler";"RB";"DAL"
"Coates, Sammie";"WR";"PIT"
"Cobb, David";"RB";"TEN"
"Cobb, Randall";"WR";"GNB"
"Coffman, Chase";"TE";"TEN"
"Coleman, Brandon";"WR";"NOR"
"Coleman, Derrick";"RB";"SEA"
"Coleman, Tevin";"RB";"ATL"
"Collins, Ricky";"WR";"GNB"
"Colston, Marques";"WR";"NOR"
"Cone, Kevin";"WR";"CLE"
"Conley, Chris";"WR";"K.C"
"Conner, John";"RB";"BUF"
"Cook, Jared";"TE";"STL"
"Cook, Kenny";"WR";"K.C"
"Cooks, Brandin";"WR";"NOR"
"Coons, Travis";"K";"CLE"
"Cooper, Amari";"WR";"OAK"
"Cooper, Riley";"WR";"PHI"
"Copeland, Damian";"WR";"JAC"
"Copeland, J.C.";"RB";"NYJ"
"Cotchery, Jerricho";"WR";"CAR"
"Cottom, Brandon";"RB";"SEA"
"Cousins, Kirk";"QB";"WAS"
"Coxson, Adrian";"WR";"GNB"
"Crabtree, Michael";"WR";"OAK"
"Criner, Juron";"WR";"NYG"
"Crockett, John";"RB";"GNB"
"Crosby, Mason";"K";"GNB"
"Crowder, Jamison";"WR";"WAS"
"Crowell, Isaiah";"RB";"CLE"
"Cruz, A.J.";"WR";"CHI"
"Cruz, Victor";"WR";"NYG"
"Cumberland, Jeff";"TE";"NYJ"
"Cunningham, Benny";"RB";"STL"
"Cunningham, Jerome";"TE";"NYG"
"Cunningham, Justice";"TE";"STL"
"Cutler, Jay";"QB";"CHI"
"D'Orazio, Zach";"WR";"NWE"
"Dalton, Andy";"QB";"CIN"
"Daniel, Chase";"QB";"K.C"
"Daniels, B.J.";"QB";"SEA"
"Daniels, DaVaris";"WR";"MIN"
"Daniels, Owen";"TE";"DEN"
"Darkwa, Orleans";"RB";"NYG"
"Davis, Andre";"WR";"BUF"
"Davis, Austin";"QB";"STL"
"Davis, Devante";"WR";"PHI"
"Davis, Geremy";"WR";"NYG"
"Davis, Jace";"WR";"HOU"
"Davis, Kellen";"TE";"NYJ"
"Davis, Knile";"RB";"K.C"
"Davis, Mike";"RB";"SFO"
"Davis, Titus";"WR";"SDG"
"Davis, Vernon";"TE";"SFO"
"Dawson, Phil";"K";"SFO"
"De La Cruz, Kai";"WR";"MIA"
"Debose, Andre";"WR";"OAK"
"Decker, Eric";"WR";"NYJ"
"Denham, Anthony";"TE";"HOU"
"Derby, A.J.";"TE";"NWE"
"Develin, James";"RB";"NWE"
"DiMarco, Patrick";"RB";"ATL"
"Dickerson, Dorin";"TE";"TEN"
"Dickson, Ed";"TE";"CAR"
"Diggs, Stefon";"WR";"MIN"
"Dixon, Anthony";"RB";"BUF"
"Dixon, Chase";"TE";"WAS"
"Dobson, Aaron";"WR";"NWE"
"Donnell, Larry";"TE";"NYG"
"Dorsett, Phillip";"WR";"IND"
"Doss, Tandon";"WR";"JAC"
"Douglas, Harry";"WR";"TEN"
"Doyle, Jack";"TE";"IND"
"Draughn, Shaun";"RB";"CLE"
"Dray, Jim";"TE";"CLE"
"Dunbar, Lance";"RB";"DAL"
"Dunbar, Quinton";"WR";"WAS"
"Duncan, Joe Don";"RB";"DEN"
"Dunn, Reggie";"WR";"DAL"
"Durham, Kris";"WR";"OAK"
"Dye, Donteea";"WR";"TAM"
"Dyer, Michael";"RB";"OAK"
"Dysert, Zac";"QB";"DEN"
"Easley, Marcus";"WR";"BUF"
"Ebron, Eric";"TE";"DET"
"Edelman, Julian";"WR";"NWE"
"Edwards, Jahwan";"RB";"SDG"
"Egnew, Michael";"TE";"PIT"
"Eifert, Tyler";"TE";"CIN"
"Ellington, Andre";"RB";"ARI"
"Ellington, Bruce";"WR";"SFO"
"Ellison, Rhett";"TE";"MIN"
"Enunwa, Quincy";"WR";"NYJ"
"Ertz, Zach";"TE";"PHI"
"Escobar, Gavin";"TE";"DAL"
"Evans, Mike";"WR";"TAM"
"Evans, Shaq";"WR";"NYJ"
"Fajardo, Cody";"QB";"OAK"
"Fales, David";"QB";"CHI"
"Farmer, George";"WR";"DAL"
"Fasano, Anthony";"TE";"TEN"
"Fauria, Joseph";"TE";"DET"
"Fells, Daniel";"TE";"NYG"
"Fells, Darren";"TE";"ARI"
"Felton, Jerome";"RB";"BUF"
"Ferguson, Isiah";"WR";"STL"
"Fiedorowicz, C.J.";"TE";"HOU"
"Fitzgerald, Larry";"WR";"ARI"
"Fitzpatrick, Ryan";"QB";"NYJ"
"Flacco, Joe";"QB";"BAL"
"Fleener, Coby";"TE";"IND"
"Floyd, Malcom";"WR";"SDG"
"Floyd, Michael";"WR";"ARI"
"Fluellen, David";"RB";"TEN"
"Flynn, Matt";"QB";"NWE"
"Foles, Nick";"QB";"STL"
"Folk, Nick";"K";"NYJ"
"Forbath, Kai";"K";"WAS"
"Ford, Chase";"TE";"MIN"
"Ford, Jacoby";"WR";"TEN"
"Forsett, Justin";"RB";"BAL"
"Forte, Matt";"RB";"CHI"
"Foster, Arian";"RB";"HOU"
"Foster, Donte";"WR";"MIN"
"Fowler, Bennie";"WR";"DEN"
"Fowler, Jalston";"RB";"TEN"
"Foxx, Deshon";"WR";"SEA"
"Franks, Andrew";"K";"MIA"
"Franks, Terrence";"RB";"STL"
"Freeman, Devonta";"RB";"ATL"
"Freeman, Josh";"QB";"MIA"
"Frohnapfel, Eric";"TE";"SDG"
"Fruechte, Isaac";"WR";"MIN"
"Fuller, Corey";"WR";"DET"
"Funchess, Devin";"WR";"CAR"
"Gabbert, Blaine";"QB";"SFO"
"Gabriel, Taylor";"WR";"CLE"
"Gaffney, Tyler";"RB";"NWE"
