"Player;";"Position;";"Team"
"Kuenzle, Bayley";"FH";"BRU"
"Parkinson, Paripari";"L";"HIG"
"Tizzano, Carlo";"LF";"WAR"
"Jacobson, Luke";"LF";"CHI"
"Moeroa, Tepai";"M";"WAR"
"Umaga-Jensen, Peter";"M";"HUR"
"Uru, Seru";"LF";"RED"
"Swain, Darcy";"L";"BRU"
"Front Row, Force";"FR";"FOR"
"McDonald, Michael";"HB";"FOR"
"Tomkinson, Sio";"M";"HIG"
"Lam, AJ";"OB";"BLU"
"Savea, Ardie";"LF";"HUR"
"Sullivan, Bailyn";"M";"CHI"
"Donaldson, Ben";"FH";"WAR"
"Harmon, Billy";"LF";"HIG"
"Lacey, Brad";"OB";"FOR"
"Wilkin, Brad";"LF";"REB"
"Iose, Brayden";"LF";"HUR"
"Evans, Bryn";"L";"HIG"
"Gatland, Bryn";"FH";"CHI"
"Stander, Brynard";"LF";"FOR"
"Ralston, Byron";"OB";"FOR"
"Clarke, Caleb";"OB";"BLU"
"Gordon, Carter";"FH";"REB"
"Gamble, Charlie";"LF";"WAR"
"Fihaki, Chay";"OB";"CRU"
"Garden-Bachop, Connor";"OB";"HIG"
"Toala, Danny";"M";"HUR"
"Miotti, Domingo";"FH";"FOR"
"Nanai-Seturo, Etene";"OB";"CHI"
"Blackadder, Ethan";"LF";"CRU"
"Lee-Warner, Fergus";"L";"FOR"
"Paea, Fetuli";"M";"HIG"
"Christie, Finlay";"HB";"BLU"
"Fakatava, Folau";"HB";"HIG"
"Makara, Grason";"M";"FOR"
"Robertson, Henry";"HB";"WAR"
"Taefu, Henry";"M";"FOR"
"Sinclair, Hugh";"LF";"WAR"
"Prior, Ian";"HB";"FOR"
"Vudogo, Ilikena";"M";"REB"
"Punivai, Isaiah";"M";"CRU"
"Fines, Issak";"HB";"BRU"
"Perese, Izaia";"M";"WAR"
"Grant, Jack";"HB";"WAR"
"McGregor, Jack";"FH";"FOR"
"Whetton, Jack";"L";"WAR"
"Pugh, Jackson";"L";"FOR"
"Ratumaitavuki-Kneepkens, Jacob";"OB";"BLU"
"Brown, Jahrome";"LF";"BRU"
"McIntyre, Jake";"FH";"FOR"
"Strachan, Jake";"FH";"FOR"
"Tuttle, James";"HB";"REB"
"Skelton, Jeremy";"LF";"REB"
"Thrush, Jeremy";"L";"FOR"
"Williams, Jeremy";"L";"WAR"
"Walton, Joey";"M";"WAR"
"Lowe, Jonah";"OB";"CHI"
"Macilai-Tori, Jone";"OB";"BLU"
"Lance, Jono";"FH";"FOR"
"Kemeny, Josh";"LF";"REB"
"Lord, Josh";"L";"CHI"
"Savea, Julian";"OB";"HUR"
"Koteka, Kane";"LF";"FOR"
"Le'aupepe, Kane";"L";"HUR"
"Boshier, Kaylum";"LF";"CHI"
"Himeno, Kazuki";"LF";"HIG"
"Godwin, Kyle";"M";"FOR"
"Anderson, Lachlan";"OB";"REB"
"McWhannell, Laghlan";"L";"CHI"
"Holland, Lewis";"OB";"REB"
"Squire, Liam";"LF";"HIG"
"Visinia, Lolagi";"OB";"HUR"
"Campbell, Luke";"HB";"HUR"
"Hansen, Mackenzie";"OB";"BRU"
"Brache, Marcel";"M";"FOR"
"Douglas, Max";"L";"WAR"
"Milner-Skudder, Nehe";"OB";"HIG"
"White, Nic";"HB";"BRU"
"Callan, Ollie";"LF";"FOR"
"Patafilo, Pepesana";"M";"HUR"
"Strange, Quinten";"L";"CRU"
"Kahui, Richard";"M";"FOR"
"Reihana, Rivez";"FH";"CHI"
"Kearney, Rob";"OB";"FOR"
"Love, Ruben";"OB";"HUR"
"Rayasi, Salesi";"OB";"HUR"
"Caird, Sam";"L";"WAR"
"Darry, Sam";"L";"BLU"
"Gilbert, Sam";"OB";"HIG"
"Whitelock, Sam";"L";"CRU"
"Wykes, Sam";"L";"WAR"
"Hickey, Simon";"FH";"HUR"
"Parker, Simon";"LF";"CHI"
"Misiloi, Sione";"LF";"HIG"
"Cummins, Steven";"L";"REB"
"Vunivalu, Suliasi";"OB";"RED"
"Plumtree, Taine";"L";"BLU"
"Edmed, Tane";"FH";"WAR"
"Tele'a, Tanielu";"M";"BLU"
"Umaga-Jensen, Thomas";"M";"HIG"
"Anstee, Tim";"LF";"FOR"
"Pincus, Tom";"OB";"REB"
"Cubelli, Tomas";"HB";"FOR"
"Lezana, Tomas";"LF";"FOR"
"Hosea, Trevor";"L";"REB"
"Reilly, Triston";"OB";"WAR"
"Tualima, Tuaina";"LF";"RED"
"Vaa'i, Tupou";"L";"CHI"
"Koroi, Vilimoni";"OB";"HIG"
"Harris, Will";"LF";"WAR"
"Roe, Xavier";"HB";"CHI"
"Tonumaipea, Young";"M";"REB"
"Sullivan, Zarn";"OB";"BLU"
"Ranger, Rene";"M";"CRU"
"McKay, Josh";"OB";"CRU"
"Wallis, Sam";"LF";"RED"
"Flook, Joshua";"M";"RED"
"Droasese, Ilaisa";"M";"RED"
"Creighton, Hudson";"M";"RED"
"Henry, Isaac";"M";"RED"
"Tapine, Reece";"M";"BRU"
"Reimer, Luke";"LF";"BRU"
"Creighton, Lawson";"OB";"RED"
"Grealy, Mac";"OB";"RED"
"Grant, Ben";"L";"RED"
"Smith, Ryan";"L";"RED"
"Tucker, James";"L";"BRU"
"Hooper, Thomas";"L";"BRU"
"Scott, Rory";"LF";"BRU"
"Thomas, Kalani";"HB";"RED"
"Albert, Lachlan";"HB";"BRU"
