"Player";"Position";"Team"
"Adams, Joe";"WR";"CAR"
"Adams, Kris";"WR";"NYG"
"Adams, Kyle";"TE";"CHI"
"Aiken, Kamar";"WR";"NWE"
"Akers, David";"K";"DET"
"Akins, C.J.";"WR";"STL"
"Alexander, Danario";"WR";"SDG"
"Allen, Anthony";"RB";"BAL"
"Allen, Armando";"RB";"CHI"
"Allen, Dwayne";"TE";"IND"
"Allen, Keenan";"WR";"SDG"
"Amendola, Danny";"WR";"NWE"
"Amos, Anthony";"WR";"DAL"
"Amosa, Jonathan";"RB";"GNB"
"Anderson, C.J.";"RB";"DEN"
"Anderson, Colin";"TE";"MIN"
"Anderson, Derek";"QB";"CAR"
"Anderson, Joe";"WR";"CHI"
"Armstrong, Anthony";"WR";"DAL"
"Aromashodu, Devin";"WR";"CHI"
"Ashford, Perez";"WR";"NWE"
"Asiata, Matt";"RB";"MIN"
"Ausberry, David";"TE";"OAK"
"Austin, Miles";"WR";"DAL"
"Austin, Tavon";"WR";"STL"
"Austin, Terrence";"WR";"DET"
"Avant, Jason";"WR";"PHI"
"Avery, Donnie";"WR";"K.C"
"Baer, Brett";"K";"STL"
"Bailey, Dan";"K";"DAL"
"Bailey, Stedman";"WR";"STL"
"Bajema, Billy";"TE";"BAL"
"Baker, Edwin";"RB";"SDG"
"Baldwin, Doug";"WR";"SEA"
"Baldwin, Jon";"WR";"K.C"
"Ball, Lance";"RB";"DEN"
"Ball, Montee";"RB";"DEN"
"Ballard, Jake";"TE";"NWE"
"Ballard, Vick";"RB";"IND"
"Banyard, Joe";"RB";"MIN"
"Barden, Brandon";"TE";"TEN"
"Barden, Ramses";"WR";"NYG"
"Barkley, Matt";"QB";"PHI"
"Barner, Kenjon";"RB";"CAR"
"Barnidge, Gary";"TE";"CLE"
"Barth, Connor";"K";"TAM"
"Bartholomew, Ben";"RB";"NWE"
"Batch, Baron";"RB";"PIT"
"Bateman, Kemonte'";"WR";"DEN"
"Bates, Phil";"WR";"SEA"
"Battle, Jackie";"RB";"TEN"
"Beasley, Cole";"WR";"DAL"
"Bell, Joique";"RB";"DET"
"Bell, Le'Veon";"RB";"PIT"
"Bellamy, Josh";"WR";"K.C"
"Benford, Tim";"WR";"DAL"
"Benjamin, Travis";"WR";"CLE"
"Benn, Arrelious";"WR";"PHI"
"Bennett, Earl";"WR";"CHI"
"Bennett, Martellus";"TE";"CHI"
"Bernard, Giovani";"RB";"CIN"
"Berry, Damien";"RB";"BAL"
"Bersin, Brenton";"WR";"CAR"
"Bess, Davone";"WR";"CLE"
"Bethel-Thompson, McLeod";"QB";"MIN"
"Binns, Armon";"WR";"MIA"
"Bironas, Rob";"K";"TEN"
"Blackmon, Justin";"WR";"JAC"
"Blake, Emory";"WR";"STL"
"Blanchard, Matt";"QB";"CHI"
"Blount, LeGarrette";"RB";"NWE"
"Bogotay, Brandon";"K";"CLE"
"Bohanon, Tommy";"RB";"NYJ"
"Bolden, Brandon";"RB";"NWE"
"Boldin, Anquan";"WR";"SFO"
"Bolen, Brock";"RB";"CLE"
"Bonani, Maikon";"K";"TEN"
"Bonner, Alan";"WR";"HOU"
"Borel, Diondre";"WR";"TEN"
"Boren, Zach";"RB";"HOU"
"Bostick, Brandon";"TE";"GNB"
"Bowe, Dwayne";"WR";"K.C"
"Boyce, Josh";"WR";"NWE"
"Boykin, Jarrett";"WR";"GNB"
"Brackett, Brett";"TE";"JAC"
"Bradford, Sam";"QB";"STL"
"Bradshaw, Ahmad";"RB";"IND"
"Brady, Tom";"QB";"NWE"
"Bray, Tyler";"QB";"K.C"
"Brazill, LaVon";"WR";"IND"
"Brees, Drew";"QB";"NOR"
"Briscoe, Dezmon";"WR";"WAS"
"Britt, Kenny";"WR";"TEN"
"Brock, Kevin";"TE";"K.C"
"Brockel, Richie";"TE";"CAR"
"Brown, Andre";"RB";"NYG"
"Brown, Antonio";"WR";"PIT"
"Brown, Bryce";"RB";"PHI"
"Brown, Donald";"RB";"IND"
"Brown, Jaron";"WR";"ARI"
"Brown, Josh";"K";"NYG"
"Brown, Justin";"WR";"PIT"
"Brown, LaMark";"TE";"MIN"
"Brown, Marlon";"WR";"BAL"
"Brown, Mike";"WR";"JAC"
"Brown, Ronnie";"RB";"SDG"
"Brown, Vincent";"WR";"SDG"
"Brown, Zach";"RB";"BUF"
"Broyles, Ryan";"WR";"DET"
"Bryant, Dez";"WR";"DAL"
"Bryant, Matt";"K";"ATL"
"Buckner, Dan";"WR";"ARI"
"Bullock, Randy";"K";"HOU"
"Bumphis, Chad";"WR";"MIA"
"Burkhead, Rex";"RB";"CIN"
"Burleson, Nate";"WR";"DET"
"Burress, Plaxico";"WR";"PIT"
"Burton, Stephen";"WR";"MIN"
"Bush, Michael";"RB";"CHI"
"Bush, Reggie";"RB";"DET"
"Butler, Brice";"WR";"OAK"
"Butler, Deon";"WR";"SDG"
"Byham, Nate";"TE";"TAM"
"Byrd, LaRon";"WR";"ARI"
"Byrne, Jake";"TE";"HOU"
"Cadet, Travaris";"RB";"NOR"
"Caldwell, Andre";"WR";"DEN"
"Cameron, Colby";"QB";"CAR"
"Cameron, Jordan";"TE";"CLE"
"Campbell, Devonte";"RB";"ATL"
"Campbell, Jason";"QB";"CLE"
"Carlson, John";"TE";"MIN"
"Carmona, Eddy";"K";"OAK"
"Carpenter, Dan";"K";"MIA"
"Carr, David";"QB";"NYG"
"Carrier, Derek";"WR";"PHI"
"Carswell, Brandon";"WR";"SFO"
"Carter, Delone";"RB";"IND"
"Carter, Rashaad";"WR";"BAL"
