"Player";"DL";"Team"
"Anderson, Joe";"WR";"CHI"
"Anderson, Todd";"RB";"STL"
"Anyiam, Hubert";"WR";"CAR"
"Arceneaux, Emmanuel";"WR";"MIN"
"Archer, R.J.";"QB";"DET"
"Armstrong, Anthony";"WR";"WAS"
"Arnett, Alric";"WR";"DET"
"Aromashodu, Devin";"WR";"MIN"
"Arrington, Adrian";"WR";"NOR"
"Arukwe, Stanley";"WR";"ARI"
"Asante, Larry";"DB";"TAM"
"Asiata, Matt";"RB";"MIN"
"Asomugha, Nnamdi";"DB";"PHI"
"Atogwe, Oshiomogho";"DB";"PHI"
"Austin, Miles";"WR";"DAL"
"Austin, Terrence";"WR";"WAS"
"Avant, Jason";"WR";"PHI"
"Avila, Michael";"WR";"CAR"
"Bailey, Antwon";"RB";"WAS"
"Bailey, Dan";"K";"DAL"
"Baker, Sean";"DB";"TAM"
"Baldwin, Doug";"WR";"SEA"
"Banks, Brandon";"WR";"WAS"
"Banyard, Joe";"RB";"NOR"
"Barber, Marion";"RB";"CHI"
"Barber, Ronde";"DB";"TAM"
"Barden, Ramses";"WR";"NYG"
"Barnes, Kevin";"DB";"WAS"
"Barnidge, Gary";"TE";"CAR"
"Barron, Mark";"DB";"TAM"
"Bartel, Richard";"QB";"ARI"
"Barth, Connor";"K";"TAM"
"Bates, Phil";"WR";"SEA"
"Beasley, Cole";"WR";"DAL"
"Beckum, Travis";"TE";"NYG"
"Bell, Cameron";"RB";"SFO"
"Bell, Joique";"RB";"DET"
"Bell, Kahlil";"RB";"CHI"
"Bellamy, Travon";"DB";"WAS"
"Benford, Tim";"WR";"DAL"
"Benn, Arrelious";"WR";"TAM"
"Bennett, Duane";"RB";"GNB"
"Bennett, Earl";"WR";"CHI"
"Bennett, Martellus";"TE";"NYG"
"Berry, Aaron";"DB";"DET"
"Bersin, Brenton";"WR";"CAR"
"Best, Jahvid";"RB";"DET"
"Bethel-Thompson, McLeod";"QB";"MIN"
"Beyah, Malcolm";"WR";"NOR"
"Biggers, E.J.";"DB";"TAM"
"Billings, Montez";"WR";"NOR"
"Birmingham, DeCori";"RB";"CAR"
"Black, Ahmad";"DB";"TAM"
"Blanchard, Matt";"QB";"CHI"
"Blount, LeGarrette";"RB";"TAM"
"Bogan, Dontavia";"WR";"SFO"
"Bolden, Kelvin";"WR";"WAS"
"Bonner, Wade";"DB";"PHI"
"Booker, Lorenzo";"RB";"CHI"
"Borel, Diondre";"WR";"GNB"
"Bostick, Brandon";"TE";"GNB"
"Bowman, Zack";"DB";"MIN"
"Boyce, Dorson";"RB";"WAS"
"Boykin, Jarrett";"WR";"GNB"
"Brackett, Brett";"TE";"PHI"
"Bradford, Allen";"RB";"SEA"
"Bradford, Sam";"QB";"STL"
"Bradshaw, Ahmad";"RB";"NYG"
"Brandstater, Tom";"QB";"STL"
"Brees, Drew";"QB";"NOR"
"Brewer, Andrew";"WR";"PHI"
"Briscoe, Dezmon";"WR";"WAS"
"Brock, Tramaine";"DB";"SFO"
"Brockel, Richie";"TE";"CAR"
"Brown, Andre";"RB";"NYG"
"Brown, Bryce";"RB";"PHI"
"Brown, Cornelius";"DB";"CHI"
"Brown, Darrick";"DB";"NOR"
"Brown, LaMark";"TE";"ATL"
"Brown, Stevie";"DB";"NYG"
"Brown, Tarell";"DB";"SFO"
"Browner, Brandon";"DB";"SEA"
"Broyles, Ryan";"WR";"DET"
"Bryan, George";"TE";"DAL"
"Bryant, Antonio";"WR";"SEA"
"Bryant, Dez";"WR";"DAL"
"Bryant, James";"RB";"DET"
"Bryant, Lamont";"WR";"CAR"
"Bryant, Matt";"K";"ATL"
"Buehler, David";"K";"DAL"
"Burleson, Nate";"WR";"DET"
"Burnett, Morgan";"DB";"GNB"
"Burney, Kendric";"DB";"STL"
"Burrell, Troy";"WR";"DET"
"Burton, Brandon";"DB";"MIN"
"Burton, Stephen";"WR";"MIN"
"Bush, Jarrett";"DB";"GNB"
"Bush, Michael";"RB";"CHI"
"Butler, Darius";"DB";"CAR"
"Butler, Deon";"WR";"SEA"
"Butler, Mario";"DB";"DAL"
"Byham, Nate";"TE";"SFO"
"Byrd, Dominique";"TE";"WAS"
"Byrd, LaRon";"WR";"ARI"
"Byrne, Jake";"TE";"NOR"
"Cadet, Travaris";"RB";"NOR"
"Caldwell, Jeremy";"DB";"STL"
"Calvin, Michael";"WR";"ATL"
"Campbell, D.J.";"DB";"CAR"
"Campbell, Jason";"QB";"CHI"
"Campbell, Michael";"WR";"STL"
"Canfield, Sean";"QB";"NOR"
"Carey, Don";"DB";"DET"
"Carlson, John";"TE";"MIN"
"Carpenter, Rudy";"QB";"DAL"
"Carr, Brandon";"DB";"DAL"
"Carr, Chris";"DB";"MIN"
"Carr, David";"QB";"NYG"
"Cartwright, Rock";"RB";"SFO"
"Celek, Brent";"TE";"PHI"
"Celek, Garrett";"TE";"SFO"
"Chancellor, Kam";"DB";"SEA"
"Chapas, Shaun";"RB";"DAL"
"Childers, Jamie";"TE";"STL"
"Childs, Greg";"WR";"MIN"
"Chiles, John";"WR";"STL"
"Church, Barry";"DB";"DAL"
"Clark, Dallas";"TE";"TAM"
"Clark, Desmond";"TE";"CHI"
"Clark, Marques";"WR";"NOR"
"Clausen, Jimmy";"QB";"CAR"
"Clayton, Thomas";"RB";"ARI"
"Clemens, Kellen";"QB";"STL"
"Clutts, Tyler";"RB";"CHI"
"Coale, Danny";"WR";"DAL"
"Cobb, Randall";"WR";"GNB"
"Coe, Michael";"DB";"NYG"
"Coffman, Chase";"TE";"TAM"
"Coleman, B.J.";"QB";"GNB"
"Coleman, Derrick";"RB";"MIN"
"Coleman, Drew";"DB";"DET"
"Coleman, Erik";"DB";"DET"
"Coleman, Kurt";"DB";"PHI"
"Collaros, Zach";"QB";"TAM"
"Collins, Brandon";"WR";"NYG"
"Collins, Jed";"RB";"NOR"
"Colston, Marques";"WR";"NOR"
"Cone, Kevin";"WR";"ATL"
"Conte, Chris";"DB";"CHI"
"Cook, Chris";"DB";"MIN"
"Cooley, Chris";"TE";"WAS"
"Cooper, Graig";"RB";"PHI"
"Cooper, Nicholas";"RB";"GNB"
"Cooper, Riley";"WR";"PHI"
"Cosby, DeMarco";"TE";"GNB"
"Coston, Trevor";"DB";"CHI"
"Cousins, Kirk";"QB";"WAS"
"Cox, Landon";"WR";"TAM"
"Cox, Mike";"RB";"ATL"
"Cox, Perrish";"DB";"SFO"
"Crabtree, Michael";"WR";"SFO"
"Crabtree, Tom";"TE";"GNB"
"Crank, Jared";"RB";"ARI"
"Creer, Lennon";"RB";"WAS"
"Crompton, Jonathan";"QB";"WAS"
"Crosby, Mason";"K";"GNB"
"Crump, Gino";"WR";"ARI"
"Crump, Terriun";"WR";"CHI"
"Cruz, Victor";"WR";"NYG"
"Culliver, Chris";"DB";"SFO"
"Curry, Dominique";"WR";"DET"
"Curtis, De'Anthony";"RB";"TAM"
"Cutler, Jay";"QB";"CHI"
"D'Imperio, Ryan";"RB";"MIN"
"Dahl, Craig";"DB";"STL"
"Daniel, Chase";"QB";"NOR"
"Daniels, Matt";"DB";"STL"
"Davis, A.J.";"DB";"NOR"
"Davis, Austin";"QB";"STL"
"Davis, D.J.";"WR";"ATL"
"Davis, Dominique";"QB";"ATL"
"Davis, Fred";"TE";"WAS"
"Davis, Kellen";"TE";"CHI"
"Davis, Tristan";"RB";"WAS"
"Davis, Vernon";"TE";"SFO"
"DeCoud, Thomas";"DB";"ATL"
"DePalma, Dan";"WR";"NYG"
"Delmas, Louis";"DB";"DET"
"Dillard, Jarett";"WR";"DET"
"Dimke, Derek";"K";"DET"
"Dixon, Anthony";"RB";"SFO"
"Donnell, Larry";"TE";"NYG"
"Doucet, Early";"WR";"ARI"
"Doughty, Reed";"DB";"WAS"
"Douglas, David";"WR";"NYG"
"Douglas, Harry";"WR";"ATL"
"Dray, Jim";"TE";"ARI"
"Driver, Donald";"WR";"GNB"
"Dunbar, Lance";"RB";"DAL"
"Dunsmore, Drake";"TE";"TAM"
"Durham, Kris";"WR";"SEA"
"Durham, London";"DB";"SEA"
"Dutch, Doug";"DB";"WAS"
"Edwards, Armanti";"WR";"CAR"
"Edwards, Braylon";"WR";"SEA"
"Edwards, Pat";"WR";"DET"
"Edwards, Trent";"QB";"PHI"
"Elder, Eddie";"DB";"ARI"
"Eldridge, Brody";"TE";"STL"
"Ellingson, Greg";"WR";"TAM"
"Ellison, Rhett";"RB";"MIN"
"Ervin, Allen";"RB";"PHI"
"Evans, Jonathan";"RB";"WAS"
"Ewing, Bradie";"RB";"ATL"
"Faulcon, Chad";"DB";"ATL"
"Feely, Jay";"K";"ARI"
"Felder, Bobby";"DB";"MIN"
"Felton, Jerome";"RB";"MIN"
"Finley, J.J.";"TE";"CAR"
"Finley, Jay";"RB";"SEA"
"Finley, Jermichael";"TE";"GNB"
"Finnegan, Cortland";"DB";"STL"
"Fitzgerald, Larry";"WR";"ARI"
"Fletcher, Bradley";"DB";"STL"
"Floyd, Michael";"WR";"ARI"
"Flynn, Matt";"QB";"SEA"
"Foles, Nick";"QB";"PHI"
"Folk, Erik";"K";"ATL"
"Forbath, Kai";"K";"TAM"
"Ford, Cameron";"TE";"GNB"
"Ford, Chase";"TE";"PHI"
"Forte, Matt";"RB";"CHI"
"Frampton, Eric";"DB";"MIN"
"Francies, Coye";"DB";"SEA"
"Franklin, Collin";"TE";"TAM"
"Franks, Dominique";"DB";"ATL"
"Freeman, Josh";"QB";"TAM"
"Frey, Robbie";"RB";"ATL"
"Gaitor, Anthony";"DB";"TAM"
"Gallarda, Tommy";"TE";"ATL"
"Gamble, Chris";"DB";"CAR"
"Gano, Graham";"K";"WAS"
"Gant, Ed";"WR";"TAM"
"Garcon, Pierre";"WR";"WAS"
"Gatewood, Corey";"DB";"MIN"
"Gay, William";"DB";"ARI"
"Gerhart, Toby";"RB";"MIN"
"Gettis, David";"WR";"CAR"
"Gibson, Brandon";"WR";"STL"
"Gideon, Blake";"DB";"ARI"
"Gilleylen, Curenski";"WR";"GNB"
"Gilyard, Mardy";"WR";"PHI"
"Ginn, Ted";"WR";"SFO"
"Givens, Chris";"WR";"NOR"
"Givens, Chris";"WR";"STL"
"Godfrey, Charles";"DB";"CAR"
"Golden, Brittan";"WR";"CHI"
"Goldson, Dashon";"DB";"SFO"
"Gomes, DeJon";"DB";"WAS"
"Gonzalez, Tony";"TE";"ATL"
"Gordy, Josh";"DB";"STL"
"Gore, Frank";"RB";"SFO"
"Gottlieb, Alex";"TE";"DET"
"Gould, Robbie";"K";"CHI"
"Graham, Jimmy";"TE";"NOR"
"Grant, Bakari";"WR";"SFO"
"Gray, Tre";"WR";"ARI"
"Green, Alex";"RB";"GNB"
"Green, Jared";"WR";"CAR"
"Green, Marshay";"DB";"ARI"
"Green, Stephfon";"RB";"DET"
"Greer, Jabari";"DB";"NOR"
"Griffin III, Robert";"QB";"WAS"
"Griffin, Cedric";"DB";"WAS"
"Griffin, Kee-ayre";"DB";"PHI"
"Grimes, Brent";"DB";"ATL"
"Grimm, Cody";"DB";"TAM"
"Grossman, Rex";"QB";"WAS"
"Guidugli, Ben";"RB";"STL"
"Gumbs, Jose";"DB";"NOR"
"Gurley, Tori";"WR";"GNB"
"Gutierrez, Matt";"QB";"STL"
"Guy, Winston";"DB";"SEA"
"Haggerty, Johnathan";"WR";"CHI"
"Hakim, Saalim";"WR";"DAL"
"Hall, Chad";"WR";"PHI"
"Hall, DeAngelo";"DB";"WAS"
"Hall, Korey";"RB";"NOR"
"Hall, Roy";"WR";"DET"
"Hamler, Jamel";"WR";"PHI"
"Hamlin, Mike";"DB";"WAS"
"Hampton, Jewel";"RB";"SFO"
"Hankerson, Leonard";"WR";"WAS"
"Hanks, Darius";"WR";"WAS"
"Hanna, James";"TE";"DAL"
"Hannula, Ben";"DB";"SFO"
"Hansen, Matt";"DB";"ATL"
"Hanson, Jason";"K";"DET"
"Hanson, Joselio";"DB";"PHI"
"Harbor, Clay";"TE";"PHI"
"Hardin, Brandon";"DB";"CHI"
"Hardy, Daniel";"TE";"MIN"
"Hardy, Kevin";"WR";"NOR"
"Harkey, Cory";"TE";"STL"
"Harper, Roman";"DB";"NOR"
"Harrell, Graham";"QB";"GNB"
"Harris, Cliff";"DB";"PHI"
"Harris, Dwayne";"WR";"DAL"
"Harris, Jacory";"QB";"PHI"
"Harrison, Brandon";"DB";"PHI"
"Harrison, Jerome";"RB";"DET"
"Hartley, Garrett";"K";"NOR"
"Hartsock, Ben";"TE";"CAR"
"Harvin, Percy";"WR";"MIN"
"Hastings, Joe";"WR";"SFO"
"Hauschka, Steven";"K";"SEA"
"Havili, Stanley";"RB";"PHI"
"Hayden, Kelvin";"DB";"CHI"
"Heap, Todd";"TE";"ARI"
"Helfet, Cooper";"TE";"SEA"
"Heller, Will";"TE";"DET"
"Helu, Roy";"RB";"WAS"
"Henderson, Devery";"WR";"NOR"
"Henery, Alex";"K";"PHI"
"Hernandez, Brian";"WR";"WAS"
"Hester, Devin";"WR";"CHI"
"Higgins, Mike";"TE";"NOR"
"Hightower, Tim";"RB";"WAS"
"Hill, Shaun";"QB";"DET"
"Hill, Will";"DB";"NYG"
"Hilliard, Lex";"RB";"MIN"
"Hixon, Domenik";"WR";"NYG"
"Hixson, Nick";"DB";"NOR"
"Hoese, Jon";"RB";"GNB"
"Hogan, Brandon";"DB";"CAR"
"Holcomb, Curtis";"DB";"SFO"
"Holland, Devin";"DB";"TAM"
"Holmes, Andre";"WR";"DAL"
"Hoomanawanui, Michael";"TE";"STL"
"Hope, Chris";"DB";"ATL"
"Hopkins, Chris";"TE";"NYG"
"Horton, Chris";"DB";"NYG"
"House, Davon";"DB";"GNB"
"Housler, Rob";"TE";"ARI"
"Houston, Chris";"DB";"DET"
"Hughes, Brandon";"DB";"PHI"
"Hughes, Dante";"DB";"NYG"
"Hughes, Nate";"WR";"DET"
"Hughes, Robert";"RB";"TAM"
"Hunter, Kendall";"RB";"SFO"
"Hynoski, Henry";"RB";"NYG"
"Igwenagu, Emil";"RB";"PHI"
"Ingram, Mark";"RB";"NOR"
"Ivory, Chris";"RB";"NOR"
"Jackson, Brian";"DB";"STL"
"Jackson, DeSean";"WR";"PHI"
"Jackson, Janzen";"DB";"NYG"
"Jackson, Marcus";"WR";"ATL"
"Jackson, Steven";"RB";"STL"
"Jackson, Tanard";"DB";"WAS"
"Jackson, Tarvaris";"QB";"SEA"
"Jackson, Vincent";"WR";"TAM"
"Jacobs, Brandon";"RB";"SFO"
"Jacobson, McKay";"WR";"PHI"
"James, Javarris";"RB";"ARI"
"James, LaMichael";"RB";"SFO"
"Jarrett, Jaiquawn";"DB";"PHI"
"Jeffcoat, Sean";"WR";"ARI"
"Jefferson, A.J.";"DB";"ARI"
"Jefferson, Jordan";"QB";"TAM"
"Jeffery, Alshon";"WR";"CHI"
"Jenkins, A.J.";"WR";"SFO"
"Jenkins, Malcolm";"DB";"NOR"
"Jenkins, Michael";"WR";"MIN"
"Jenkins, Mike";"DB";"DAL"
"Jennings, Brian";"TE";"SFO"
"Jennings, Greg";"WR";"GNB"
"Jennings, M.D.";"DB";"GNB"
"Jennings, Tim";"DB";"CHI"
"Jernigan, Jerrel";"WR";"NYG"
"Johnson, Bruce";"DB";"NYG"
"Johnson, Calvin";"WR";"DET"
"Johnson, Cody";"RB";"TAM"
"Johnson, Damaris";"WR";"PHI"
"Johnson, Jaymar";"WR";"ARI"
"Johnson, Jeron";"DB";"SEA"
"Johnson, Josh";"QB";"SFO"
"Johnson, Leonard";"DB";"TAM"
"Johnson, Marquis";"DB";"NOR"
"Johnson, Matt";"DB";"DAL"
"Johnson, Nick";"WR";"STL"
"Johnson, Rashad";"DB";"ARI"
"Johnson, Ronald";"WR";"PHI"
"Johnson, Stafon";"RB";"WAS"
"Jones, Chad";"DB";"NYG"
"Jones, Colin";"DB";"SFO"
"Jones, David";"DB";"WAS"
"Jones, Felix";"RB";"DAL"
"Jones, James";"WR";"GNB"
"Jones, Jeremy";"DB";"CHI"
"Jones, Julio";"WR";"ATL"
"Jones, Reggie";"DB";"MIN"
"Jones, Reggie";"DB";"MIN"
"Jones, Sean";"DB";"DET"
"Jones, Tiger";"WR";"PHI"
"Jorden, Kamar";"WR";"MIN"
"Jurovich, Kevin";"WR";"CHI"
"Kaepernick, Colin";"QB";"SFO"
"Kafka, Mike";"QB";"PHI"
"Karstetter, Jared";"WR";"DET"
"Kasay, John";"K";"NOR"
"Kearse, Jermaine";"WR";"SEA"
"Kemp, Donavon";"WR";"DAL"
"Kendricks, Lance";"TE";"STL"
"King, Caleb";"RB";"MIN"
"King, Jeff";"TE";"ARI"
"Kirkland, Sam";"WR";"WAS"
"Kitna, Jon";"QB";"DAL"
"Knox, Johnny";"WR";"CHI"
"Kolb, Kevin";"QB";"ARI"
"Komar, Max";"WR";"CHI"
"Konz, Jameson";"TE";"SEA"
"Kuhn, John";"RB";"GNB"
"LaFell, Brandon";"WR";"CAR"
"Lacey, Jacob";"DB";"DET"
"Lair, Eric";"TE";"GNB"
"Lattimore, Keon";"RB";"SFO"
"Lawrence, Alonzo";"DB";"DET"
"LeGree, Mark";"DB";"SFO"
"Leshoure, Mikel";"RB";"DET"
"Levine, Anthony";"DB";"GNB"
"Lewis, Armahd";"WR";"TAM"
"Lewis, Dion";"RB";"PHI"
"Lewis, Lance";"WR";"WAS"
"Lewis, Myron";"DB";"TAM"
"Lewis, Roy";"DB";"SEA"
"Lindholm, Garrett";"K";"STL"
"Lindley, Ryan";"QB";"ARI"
"Lindley, Trevard";"DB";"PHI"
"Lisowski, Donny";"DB";"SEA"
"Lockette, Ricardo";"WR";"SEA"
"Logan, Stefan";"RB";"DET"
"Long, Lance";"WR";"DET"
"Lorig, Erik";"RB";"TAM"
"Love, A.J.";"WR";"MIN"
"Lumpkin, Kregg";"RB";"SEA"
"Lynch, Marshawn";"RB";"SEA"
"Mack, Elbert";"DB";"NOR"
"Maclin, Jeremy";"WR";"PHI"
"Madison, Isaac";"DB";"DAL"
"Madu, Mossis";"RB";"TAM"
"Manning, Eli";"QB";"NYG"
"Manningham, Mario";"WR";"SFO"
"Manno, Chris";"WR";"CAR"
"Maragos, Chris";"DB";"SEA"
"Mare, Olindo";"K";"CAR"
"Markett, Marty";"DB";"ATL"
"Marrow, Desmond";"DB";"TAM"
"Marsh, Curtis";"DB";"PHI"
"Marshall, Brandon";"WR";"CHI"
"Martin, Charly";"WR";"SEA"
"Martin, Doug";"RB";"TAM"
"Martin, Sherrod";"DB";"CAR"
"Martinek, Joe";"RB";"NYG"
"Matthews, John";"WR";"SFO"
"Maxwell, Byron";"DB";"SEA"
"McBath, Darcel";"DB";"SFO"
"McCarty, Princeton";"RB";"CAR"
"McClain, Robert";"DB";"ATL"
"McCown, Josh";"QB";"CHI"
"McCown, Luke";"QB";"NOR"
"McCoy, Anthony";"TE";"SEA"
"McCoy, LeSean";"RB";"PHI"
"McCray, Danny";"DB";"DAL"
"McGee, Stephen";"QB";"DAL"
"McGrath, Sean";"TE";"SEA"
"McIlwain, Kamaal";"DB";"NOR"
"McLeod, Rodney";"DB";"STL"
"McMillian, Jerron";"DB";"GNB"
"McNeill, Mike";"TE";"STL"
"McNutt, Marvin";"WR";"PHI"
"Medlock, Justin";"K";"CAR"
"Meier, Kerry";"WR";"ATL"
"Meisner, Lee";"RB";"ATL"
"Meriweather, Brandon";"DB";"WAS"
"Merrill, Otis";"DB";"GNB"
"Middleton, Calvin";"RB";"STL"
"Mikell, Quintin";"DB";"STL"
"Miles, Wallace";"WR";"DET"
"Miller, Brit";"RB";"STL"
"Miller, Bruce";"RB";"SFO"
"Miller, Justin";"DB";"DET"
"Miller, Nick";"WR";"STL"
"Miller, Zach";"TE";"SEA"
"Minnifield, Chase";"DB";"WAS"
"Mitchell, Charles";"DB";"ATL"
"Molden, Antwaun";"DB";"NYG"
"Moore, D.J.";"DB";"CHI"
"Moore, Kellen";"QB";"DET"
"Moore, Lance";"WR";"NOR"
"Moore, William";"DB";"ATL"
"Morgan, Joe";"WR";"NOR"
"Morgan, Josh";"WR";"WAS"
"Morrah, Cameron";"TE";"SEA"
"Morris, Alfred";"RB";"WAS"
"Mosley, Anthony";"DB";"SFO"
"Moss, Dale";"WR";"GNB"
"Moss, Randy";"WR";"SFO"
"Moss, Santana";"WR";"WAS"
"Moye, Derek";"WR";"NOR"
"Mughelli, Ovie";"RB";"STL"
"Mulligan, Matthew";"TE";"STL"
"Munnerlyn, Captain";"DB";"CAR"
"Murphy, Jerome";"DB";"STL"
"Murphy, Louis";"WR";"CAR"
"Murray, DeMarco";"RB";"DAL"
"Myers, Rob";"TE";"WAS"
"Nakamura, Haruki";"DB";"CAR"
"Nalbone, John";"TE";"DAL"
"Nance, Dimitri";"RB";"ATL"
"Nelson, Jerico";"DB";"NOR"
"Nelson, Jonathan";"DB";"CAR"
"Nelson, Jordy";"WR";"GNB"
"Nelson, Tom";"DB";"PHI"
"Ness, Nate";"DB";"CAR"
"Newton, Cam";"QB";"CAR"
"Nicks, Hakeem";"WR";"NYG"
"Nicolas, JoJo";"DB";"NYG"
"Nissley, Adam";"TE";"ATL"
"Nixon, James";"DB";"ARI"
"Noble, Danny";"TE";"TAM"
"Obomanu, Ben";"WR";"SEA"
"Ogletree, Kevin";"WR";"DAL"
"Olawale, Jamize";"RB";"DAL"
"Olsen, Greg";"TE";"CAR"
"Orlovsky, Dan";"QB";"TAM"
"Orton, Kyle";"QB";"DAL"
"Overbay, Nathan";"TE";"DET"
"Owens, Chris";"DB";"ATL"
"Owusu, Chris";"WR";"SFO"
"Owusu-Ansah, Akwasi";"DB";"DAL"
"Palmer, Michael";"TE";"ATL"
"Palmer, Nathan";"WR";"SFO"
"Parker, Larry";"DB";"ARI"
"Parker, Preston";"WR";"TAM"
"Parker, Ron";"DB";"SEA"
"Parks, Cord";"DB";"NOR"
"Pascoe, Bear";"TE";"NYG"
"Patrick, Johnny";"DB";"NOR"
"Paul, Niles";"TE";"WAS"
"Paulsen, Logan";"TE";"WAS"
"Pead, Isaiah";"RB";"STL"
"Pearcy, Cody";"WR";"ATL"
"Pellerin, Micah";"DB";"GNB"
"Perrilloux, Ryan";"QB";"NYG"
"Peterman, Eric";"WR";"CHI"
"Peterson, Adrian";"RB";"MIN"
"Peterson, Deangelo";"TE";"STL"
"Peterson, Patrick";"DB";"ARI"
"Pettigrew, Brandon";"TE";"DET"
"Pettis, Austin";"WR";"STL"
"Pflugrad, Aaron";"WR";"PHI"
"Phillips, John";"TE";"DAL"
"Phillips, Kenny";"DB";"NYG"
"Pianalto, Zack";"TE";"TAM"
"Pilares, Kealoha";"WR";"CAR"
"Pointer, Quinton";"DB";"STL"
"Polk, Chris";"RB";"PHI"
"Ponder, Christian";"QB";"MIN"
"Pool, Brodney";"DB";"DAL"
"Poole, Tauren";"RB";"CAR"
"Porter, Quinn";"RB";"STL"
"Portis, Josh";"QB";"SEA"
"Powell, William";"RB";"ARI"
"Proctor, Sam";"DB";"DET"
"Pugh, Jordan";"DB";"CAR"
"Purvis, Deante'";"DB";"SFO"
"Purvis, Ryan";"TE";"NYG"
"Quarless, Andrew";"TE";"GNB"
"Quick, Brian";"WR";"STL"
"Quinn, Richard";"TE";"WAS"
"Rackers, Neil";"K";"WAS"
"Radway, Raymond";"WR";"DAL"
"Randle, Rueben";"WR";"NYG"
"Ratliff, Brett";"QB";"TAM"
"Raymond, Mistral";"DB";"MIN"
"Redman, Chris";"QB";"ATL"
"Reisner, Allen";"TE";"MIN"
"Reliford, Beau";"TE";"WAS"
"Reuland, Konrad";"TE";"SFO"
"Reynolds, Chase";"RB";"STL"
"Reynolds, Darius";"WR";"GNB"
"Rhodes, Kerry";"DB";"ARI"
"Rice, Sidney";"WR";"SEA"
"Richardson, Daryl";"RB";"STL"
"Richardson, Sean";"DB";"GNB"
"Rivers, Marcus";"WR";"GNB"
"Roberson, Derrick";"DB";"TAM"
"Roberts, Andre";"WR";"ARI"
"Robinson, Adrien";"TE";"NYG"
"Robinson, Aldrick";"WR";"WAS"
"Robinson, Dunta";"DB";"ATL"
"Robinson, Michael";"RB";"SEA"
"Robinson, Patrick";"DB";"NOR"
"Robinson, Trenton";"DB";"SFO"
"Roby, Courtney";"WR";"NOR"
"Rodgers, Aaron";"QB";"GNB"
"Rodgers, Jacquizz";"RB";"ATL"
"Rodgers, James";"WR";"ATL"
"Rodgers-Cromartie, Dominique";"DB";"PHI"
"Rodriguez, Evan";"TE";"CHI"
"Rogers, Carlos";"DB";"SFO"
"Rolle, Antrel";"DB";"NYG"
"Romo, Tony";"QB";"DAL"
"Rosario, Nelson";"WR";"CAR"
"Rosenfels, Sage";"QB";"MIN"
"Ross, Brandian";"DB";"GNB"
"Ross, Draylen";"TE";"CHI"
"Rossum, Allen";"DB";"SFO"
"Rowells, Lyndon";"RB";"CAR"
"Royster, Evan";"RB";"WAS"
"Rudolph, Kyle";"TE";"MIN"
"Ryan, Matt";"QB";"ATL"
"Ryan, Titus";"WR";"DAL"
"Saine, Brandon";"RB";"GNB"
"Salas, Greg";"WR";"STL"
"Sampson, DeMarco";"WR";"ARI"
"Samuel, Asante";"DB";"ATL"
"Sanders, James";"DB";"ARI"
"Sanford, Jamarca";"DB";"MIN"
"Sanzenbacher, Dane";"WR";"CHI"
"Sash, Tyler";"DB";"NYG"
"Scandrick, Orlando";"DB";"DAL"
"Scheffler, Tony";"TE";"DET"
"Schillinger, Shann";"DB";"ATL"
"Schmitt, Ricky";"K";"ARI"
"Schouman, Derek";"TE";"NOR"
"Schwieger, Nick";"RB";"STL"
"Scott, Da'Rel";"RB";"NYG"
"Scott, Darrell";"RB";"DAL"
"Scott, Laron";"DB";"NOR"
"Sendejo, Andrew";"DB";"MIN"
"Sensabaugh, Gerald";"DB";"DAL"
"Shaw, Michael";"RB";"WAS"
"Shead, DeShawn";"DB";"SEA"
"Sheets, Kory";"RB";"CAR"
"Sherels, Marcus";"DB";"MIN"
"Sherman, Anthony";"RB";"ARI"
"Sherman, Richard";"DB";"SEA"
"Shields, Sam";"DB";"GNB"
"Shoate, Jeff";"DB";"DET"
"Shoemaker, Tyler";"WR";"TAM"
"Shuler, Mickey";"TE";"MIN"
"Silva, Mana";"DB";"DAL"
"Silva, Ricardo";"DB";"DET"
"Simpson, Jerome";"WR";"MIN"
"Skelton, John";"QB";"ARI"
"Skelton, Steve";"TE";"ARI"
"Small, Ray";"WR";"WAS"
"Smith, Alex";"QB";"SFO"
"Smith, Alfonso";"RB";"ARI"
"Smith, Alphonso";"DB";"DET"
"Smith, Antone";"RB";"ATL"
"Smith, Armond";"RB";"CAR"
"Smith, Chris";"DB";"STL"
"Smith, Greg";"TE";"CAR"
"Smith, Harrison";"DB";"MIN"
"Smith, Kevin";"RB";"DET"
"Smith, Lionel";"DB";"DAL"
"Smith, Michael";"RB";"TAM"
"Smith, Reggie";"DB";"CAR"
"Smith, Steve";"WR";"CAR"
"Smith, Steve";"WR";"STL"
"Smithson, Shaky";"WR";"GNB"
"Snelling, Jason";"RB";"ATL"
"Spaeth, Matt";"TE";"CHI"
"Spievey, Amari";"DB";"DET"
"Spillman, C.J.";"DB";"SFO"
"Sproles, Darren";"RB";"NOR"
"Stafford, Kenny";"WR";"ATL"
"Stafford, Matthew";"QB";"DET"
"Stanback, Isaiah";"WR";"NYG"
"Stanford, R.J.";"DB";"CAR"
"Starks, James";"RB";"GNB"
"Steltz, Craig";"DB";"CHI"
"Stephens-Howling, LaRod";"RB";"ARI"
"Stewart, Darian";"DB";"STL"
"Stewart, Jeremy";"RB";"PHI"
"Stewart, Jonathan";"RB";"CAR"
"Stocker, Luke";"TE";"TAM"
"Stovall, Maurice";"WR";"DET"
"Stroud, Chris";"DB";"MIN"
