"Player";"DL";"Team"
"Ganaway, DaMarcus";"WR";"NYJ"
"Ganaway, Terrance";"RB";"NYJ"
"Garrard, David";"QB";"MIA"
"Gates, Antonio";"TE";"SDG"
"Gates, Clyde";"WR";"MIA"
"Gentry, Taylor";"RB";"K.C"
"Gilbert, Charles";"WR";"JAC"
"Gilreath, David";"WR";"PIT"
"Goda, Devin";"WR";"BAL"
"Goodman, Richard";"WR";"SDG"
"Goodson, Mike";"RB";"OAK"
"Goodwin, D'Andre";"WR";"DEN"
"Gordon, Josh";"WR";"CLE"
"Gordon, Richard";"TE";"OAK"
"Gostkowski, Stephen";"K";"NWE"
"Gradkowski, Bruce";"QB";"CIN"
"Graham, Cameron";"TE";"TEN"
"Graham, Dorian";"WR";"BAL"
"Graham, Garrett";"TE";"HOU"
"Graham, Shayne";"K";"HOU"
"Graham, T.J.";"WR";"BUF"
"Gray, Cyrus";"RB";"K.C"
"Gray, Jonas";"RB";"MIA"
"Green, A.J.";"WR";"CIN"
"Green, Ladarius";"TE";"SDG"
"Green, Virgil";"TE";"DEN"
"Green-Ellis, BenJarvus";"RB";"CIN"
"Greene, Shonn";"RB";"NYJ"
"Gresham, Jermaine";"TE";"CIN"
"Griffin, John";"RB";"NYJ"
"Grimes, Jonathan";"RB";"HOU"
"Grisham, Tyler";"WR";"DEN"
"Grissett, Torrey";"WR";"CLE"
"Gronkowski, Chris";"RB";"DEN"
"Gronkowski, Dan";"TE";"CLE"
"Gronkowski, Rob";"TE";"NWE"
"Hagan, Derek";"WR";"BUF"
"Hanie, Caleb";"QB";"DEN"
"Hansen, Tyler";"QB";"CIN"
"Hardesty, Montario";"RB";"CLE"
"Hardy, Andre";"TE";"OAK"
"Hardy, James";"WR";"BAL"
"Harnish, Chandler";"QB";"IND"
"Harper, Jamie";"RB";"TEN"
"Harris, DuJuan";"RB";"JAC"
"Harris, Marcus";"WR";"TEN"
"Hartline, Brian";"WR";"MIA"
"Hartline, Mike";"QB";"NWE"
"Hasselbeck, Matt";"QB";"TEN"
"Hawkins, Andrew";"WR";"CIN"
"Hawkins, Lavelle";"WR";"TEN"
"Hayes, Michael";"RB";"SDG"
"Haynos, Joey";"TE";"TEN"
"Hazelton, Vidal";"WR";"CIN"
"Hemingway, Junior";"WR";"K.C"
"Henne, Chad";"QB";"JAC"
"Herman, Brad";"TE";"NWE"
"Hernandez, Aaron";"TE";"NWE"
"Herron, Dan";"RB";"CIN"
"Hester, Jacob";"RB";"SDG"
"Heyward-Bey, Darrius";"WR";"OAK"
"Hill, Darius";"TE";"JAC"
"Hill, Jason";"WR";"DEN"
"Hill, Stephen";"WR";"NYJ"
"Hillis, Peyton";"RB";"K.C"
"Hillman, Ronnie";"RB";"DEN"
"Hilton, Justin";"WR";"CIN"
"Hilton, T.Y.";"WR";"IND"
"Hogan, Chris";"WR";"MIA"
"Holley, Jesse";"WR";"NWE"
"Holliday, Trindon";"WR";"HOU"
"Holmes, Santonio";"WR";"NYJ"
"Horne, Jeremy";"WR";"K.C"
"Hoyer, Brian";"QB";"NWE"
"Hrapmann, Danny";"K";"PIT"
"Humphrey, Tory";"TE";"OAK"
"Iglesias, Juaquin";"WR";"HOU"
"Ingram, Cornelius";"TE";"DEN"
"Jackson, Brandon";"RB";"CLE"
"Jackson, Dexter";"WR";"NYJ"
"Jackson, Fred";"RB";"BUF"
"Jackson, Jerrell";"WR";"HOU"
"Jackson, Rashawn";"RB";"OAK"
"Janikowski, Sebastian";"K";"OAK"
"Jean, Lestar";"WR";"HOU"
"Jennings, Rashad";"RB";"JAC"
"Johnson, Andre";"WR";"HOU"
"Johnson, Bryant";"WR";"HOU"
"Johnson, Chad";"WR";"MIA"
"Johnson, Chris";"RB";"TEN"
"Johnson, David";"TE";"PIT"
"Johnson, Ian";"RB";"MIA"
"Johnson, Jeremiah";"RB";"DEN"
"Johnson, Jerrod";"QB";"PIT"
"Johnson, Quinn";"RB";"TEN"
"Johnson, Steve";"WR";"BUF"
"Johnson, Will";"RB";"PIT"
"Jones, Derrick";"WR";"OAK"
"Jones, Dominique";"TE";"IND"
"Jones, Donald";"WR";"BUF"
"Jones, Greg";"RB";"JAC"
"Jones, Jacoby";"WR";"BAL"
"Jones, Marvin";"WR";"CIN"
"Jones, Taiwan";"RB";"OAK"
"Kaeding, Nate";"K";"SDG"
"Karim, Deji";"RB";"IND"
"Keenum, Case";"QB";"HOU"
"Keller, Dustin";"TE";"NYJ"
"Kemp, Wes";"WR";"NYJ"
"Kenney, Cameron";"WR";"DEN"
"Kerley, Jeremy";"WR";"NYJ"
"Kinne, G.J.";"QB";"NYJ"
"Kinnie, Brandon";"WR";"K.C"
"Kirkendoll, James";"WR";"TEN"
"Koepplin, Chris";"K";"NWE"
"La Secla, Jordan";"QB";"OAK"
"Lane, Jorvorskie";"RB";"MIA"
"Larsen, Spencer";"RB";"NWE"
"LeFevour, Dan";"QB";"JAC"
"Leach, Vonta";"RB";"BAL"
"Lee, Donald";"TE";"CIN"
"Lee, Jarrett";"QB";"SDG"
"Leftwich, Byron";"QB";"PIT"
"Legree, David";"QB";"IND"
"Leinart, Matt";"QB";"OAK"
"Leonard, Brian";"RB";"CIN"
"Lewis, Marcedes";"TE";"JAC"
"Lewis, Thaddeus";"QB";"CLE"
"Lindell, Rian";"K";"BUF"
"Linthicum, Brian";"TE";"NYJ"
"Little, Greg";"WR";"CLE"
"Livas, Phillip";"WR";"BAL"
"Lloyd, Brandon";"WR";"NWE"
"Lloyd, Tarren";"TE";"NYJ"
"Locker, Jake";"QB";"TEN"
"Louis, Mario";"WR";"HOU"
"Luck, Andrew";"QB";"IND"
"Lyons, Wes";"WR";"PIT"
"Maehl, Jeff";"WR";"HOU"
"Mahaffey, Ryan";"RB";"MIA"
"Mallett, Ryan";"QB";"NWE"
"Maneri, Steve";"TE";"K.C"
"Manning, Peyton";"QB";"DEN"
"Marah, Mohamed";"RB";"SDG"
"Marecic, Owen";"RB";"CLE"
"Mariani, Marc";"WR";"TEN"
"Markshausen, Zeke";"WR";"K.C"
"Martin, Keshawn";"WR";"HOU"
"Martin, Ruvell";"WR";"BUF"
"Massaquoi, Mohamed";"WR";"CLE"
"Mastrud, Jeron";"TE";"MIA"
"Mathews, Ryan";"RB";"SDG"
"Matthews, Rishard";"WR";"MIA"
"Mayo, Thomas";"WR";"OAK"
"Maze, Marquis";"WR";"PIT"
"McBride, Trumaine";"DB";"JAC"
"McCain, Brice";"DB";"HOU"
"McCann, Bryan";"DB";"OAK"
"McCarthy, Kyle";"DB";"K.C"
"McClain, Le'Ron";"RB";"SDG"
"McCluskey, James";"RB";"OAK"
"McCluster, Dexter";"WR";"K.C"
"McCourty, Devin";"DB";"NWE"
"McCourty, Jason";"DB";"TEN"
"McCoy, Colt";"QB";"CLE"
